Year,Week,Winning Team,Winning Score,Losing Team,Losing Score
2015,Week 2,The Lincoln Lincolns,73.9,The Brute Squad,68.2
2015,Week 2,Fighting Americans,85.9,The Moose Whisperers,83.48
2015,Week 2,Password is Taco,118.64,The_Dark_Side,91.46
2015,Week 2,Avengers Athletics,121.58,istilldontknowstuff,108.1
2015,Week 2,Black Bears,95.84,Non-fiction People,80.66
2015,Week 3,The_Dark_Side,96.88,The Brute Squad,82.82
2015,Week 3,The Lincoln Lincolns,103.8,Fighting Americans,99.14
2015,Week 3,Password is Taco,135,istilldontknowstuff,119.84
2015,Week 3,Black Bears,124.52,Avengers Athletics,106.58
2015,Week 3,Non-fiction people,109.22,The Moose Whisperers,104.86
2015,Week 4,istilldontknowstuff,103.72,The Brute Squad,63.94
2015,Week 4,Fighting Americans,107.16,The_Dark_Side,76.3
2015,Week 4,The Moose Whisperers,113.18,The Lincoln Lincolns,70.92
2015,Week 4,Password is Taco,97.98,Black Bears,86.42
2015,Week 4,Non-fiction people,70.66,Avengers Athletics,43.04
2015,Week 5,The Brute Squad,113.12,Black Bears,106.3
2015,Week 5,Fighting Americans,95.04,istilldontknowstuff,90.3
2015,Week 5,The Lincoln Lincolns,99.92,The_Dark_Side,66.98
2015,Week 5,Password is Taco,97.72,Non-fiction People,60.64
2015,Week 5,The Moose Whisperers,106.24,Avengers Athletics,74.68
2015,Week 6,The Brute Squad,119.42,Non-fiction People,100.7
2015,Week 6,Fighting Americans,116.74,Black Bears,105.18
2015,Week 6,The Lincoln Lincolns,128.98,istilldontknowstuff,106.72
2015,Week 6,The_Dark_Side,91.9,The Moose Whisperers,76.86
2015,Week 6,Password is Taco,143.94,Avengers Athletics,62.66
2015,Week 7,The Brute Squad,72.2,Avengers Athletics,70.34
2015,Week 7,Fighting Americans,101.4,Non-fiction People,85.94
2015,Week 7,The Lincoln Lincolns,133.12,Black Bears,99.2
2015,Week 7,istilldontknowstuff,121.44,The_Dark_Side,28.56
2015,Week 7,Password is Taco,104.7,The Moose Whisperers,100
2015,Week 8,Password is Taco,89.3,The Brute Squad,54.74
2015,Week 8,Fighting Americans,125.46,Avengers Athletics,103.38
